precinct,complaint_date,2014_1,2014_2,2014_3,2014_4,2014_5,2014_6,2014_7,2014_8,2014_9,2014_10,2014_11,2014_12,2015_1,2015_2,2015_3,2015_4,2015_5,2015_6,2015_7,2015_8,2015_9,2015_10,2015_11,2015_12,2016_1,2016_2,2016_3,2016_4,2016_5,2016_6,2016_7,2016_8,2016_9,2016_10,2016_11,2016_12,2017_1,2017_2,2017_3,2017_4,2017_5,2017_6,2017_7,2017_8,2017_9,2017_10,2017_11,2017_12
1.0,23469,408,403,434,467,503,512,530,504,509,522,434,410,401,352,417,484,468,495,514,483,488,522,456,562,501,440,503,526,507,538,507,584,536,570,506,538,479,427,474,434,495,518,524,496,525,589,485,489
5.0,17034,316,302,307,363,380,411,397,397,376,370,345,308,293,270,333,341,381,335,390,373,413,373,373,353,365,319,367,375,384,399,361,380,374,361,337,314,332,313,310,340,381,357,368,363,356,424,318,336
6.0,19598,385,371,391,408,481,459,471,428,451,475,418,304,349,299,383,398,444,442,431,504,430,451,393,430,407,319,395,374,404,387,403,432,365,426,336,405,329,369,334,396,426,398,502,502,469,494,390,340
7.0,16456,333,266,324,333,370,337,313,360,327,324,304,255,312,300,302,314,319,334,357,400,352,353,358,333,353,284,345,398,377,350,400,397,391,383,350,348,340,321,335,363,409,372,381,367,373,344,320,275
9.0,21576,455,370,491,393,503,464,507,478,483,486,432,389,421,370,460,455,466,432,492,528,486,472,458,454,451,395,453,449,475,508,509,507,482,519,410,477,420,349,379,445,425,452,428,427,405,435,446,385
10.0,15154,301,285,326,298,365,371,376,381,370,328,266,261,270,274,291,300,320,316,355,398,326,302,320,303,304,321,363,308,321,346,345,345,303,331,276,302,286,292,326,272,305,334,303,267,304,328,298,271
13.0,27152,588,538,558,556,603,580,615,658,616,589,509,513,488,486,540,666,605,616,678,625,654,675,537,513,535,531,594,584,553,555,522,585,553,577,513,564,506,438,501,506,584,545,567,588,592,628,534,491
14.0,41577,859,804,886,864,1005,989,972,951,894,949,858,844,808,763,793,851,917,855,879,990,803,920,955,919,848,781,865,914,968,901,877,892,732,860,818,843,791,750,719,796,887,824,852,847,843,879,904,858
17.0,12733,228,232,246,216,255,254,239,278,244,244,229,237,187,207,260,237,220,235,299,264,255,248,255,272,274,251,282,268,257,325,288,301,250,290,234,257,266,268,267,269,313,329,304,332,259,363,333,312
18.0,32278,598,558,674,692,687,640,681,654,695,730,663,680,571,527,651,618,628,631,747,681,642,711,720,771,625,550,742,673,696,751,701,725,682,687,670,751,645,584,671,618,704,639,724,711,749,805,676,649
19.0,24277,489,400,433,433,493,505,523,538,503,591,465,447,461,381,455,507,556,523,561,497,429,485,462,546,486,431,544,577,475,583,568,578,501,550,459,542,539,422,465,530,563,576,542,582,582,533,467,499
20.0,15734,336,281,347,314,348,334,315,369,374,340,268,278,324,256,306,327,338,341,358,346,337,339,285,270,324,267,326,353,329,346,310,353,290,342,282,311,327,265,316,350,370,392,360,437,335,386,344,288
22.0,1310,14,3,21,33,39,54,45,50,34,31,17,11,13,7,13,26,44,49,62,53,15,21,18,26,6,11,17,21,24,36,42,53,40,38,19,18,17,10,6,27,22,33,37,32,37,26,24,15
23.0,25198,557,462,514,510,539,477,561,637,648,555,467,399,453,425,524,495,572,595,654,554,580,533,459,490,576,488,570,545,601,596,529,635,527,462,463,473,513,434,452,574,518,508,572,583,504,544,425,446
24.0,18634,332,301,374,358,401,426,461,382,373,392,365,323,374,325,348,417,425,382,381,428,392,400,363,398,385,394,364,360,376,415,386,439,367,415,397,420,402,341,432,447,429,439,388,455,393,417,320,332
25.0,27621,565,559,563,584,826,725,727,640,572,645,566,434,564,467,623,595,768,622,627,693,699,559,464,492,532,493,521,584,598,585,569,627,616,562,448,461,525,467,473,539,570,559,653,545,606,588,495,426
26.0,11693,231,212,276,250,296,275,248,261,260,284,241,176,192,170,235,239,269,222,280,278,270,250,219,199,220,187,272,255,285,267,231,245,217,255,249,210,221,198,223,286,282,238,226,242,257,310,290,194
28.0,21120,413,328,436,379,442,417,423,475,444,447,362,348,323,347,379,445,513,404,442,434,445,432,356,425,453,393,464,458,501,532,471,539,443,455,423,539,444,373,442,511,479,457,474,575,482,531,440,382
30.0,16509,345,335,423,326,375,393,433,424,338,395,350,313,303,279,317,399,374,360,400,364,358,400,326,302,344,277,369,333,382,375,384,422,369,390,388,363,289,245,268,296,300,297,353,319,314,281,276,243
32.0,25298,460,434,511,518,632,541,574,544,569,557,473,400,480,399,535,547,592,585,611,559,561,585,503,550,517,444,562,602,648,626,583,628,537,582,503,492,502,440,459,524,521,485,484,592,446,542,433,426
33.0,15916,328,263,331,294,346,383,355,318,319,325,353,266,321,319,320,344,322,349,327,391,309,306,297,289,259,294,440,320,322,369,411,401,343,317,338,342,301,282,318,360,357,315,368,373,346,391,277,297
34.0,21925,409,365,460,397,461,494,484,460,451,423,429,445,363,349,451,444,444,496,526,511,485,461,454,497,467,392,393,452,452,436,487,497,484,538,448,454,524,438,481,496,496,491,487,486,471,522,400,374
40.0,48382,885,791,1012,914,1059,1030,1010,1088,1058,1096,974,846,893,766,926,1008,1052,1092,1125,1145,1180,1184,1060,988,1013,863,1076,1102,1159,1110,1136,989,979,1017,972,920,1026,860,966,1025,1014,1020,1028,1050,986,1052,1008,829
41.0,28606,730,551,706,614,636,694,696,682,623,667,603,543,584,442,582,608,608,589,639,675,627,681,599,534,618,525,659,652,691,664,612,652,633,596,515,489,565,459,510,498,591,575,590,541,547,558,522,431
42.0,31138,568,570,714,613,686,621,664,699,695,644,599,520,507,491,599,571,652,591,657,718,714,686,666,700,700,615,671,652,702,663,739,720,654,708,625,666,662,534,600,593,683,667,744,741,697,735,640,582
43.0,46385,1001,855,986,969,1094,1074,1109,1062,1034,1090,958,867,887,796,919,978,1059,996,1057,1080,1016,1021,888,881,888,879,982,970,1052,995,1071,1079,1008,1040,820,982,893,762,887,898,1000,1066,923,1033,889,967,835,789
44.0,46503,956,812,917,928,1013,951,1106,1200,1074,1070,929,739,852,678,878,973,1089,947,1107,1227,1136,1080,912,875,888,777,976,1023,1062,993,1031,1034,998,1002,880,941,1001,864,942,922,994,1041,1027,1051,917,957,890,843
45.0,24839,468,430,521,522,530,521,571,517,523,583,530,424,409,442,507,530,616,580,605,579,568,572,500,541,483,436,527,537,550,588,547,574,511,526,467,525,489,403,505,477,484,552,529,515,526,549,473,477
46.0,37144,754,653,834,792,942,929,885,949,825,869,737,702,634,635,705,720,831,864,932,991,840,819,789,683,818,672,771,823,788,841,812,832,786,822,725,656,731,626,705,669,720,731,705,732,752,786,680,647
47.0,38353,709,616,692,691,822,783,934,795,787,780,690,578,597,586,767,740,830,797,870,897,796,718,789,795,836,714,826,828,967,926,875,941,840,907,790,846,831,693,876,845,923,885,851,867,827,857,806,737
48.0,32109,684,537,643,687,724,699,797,823,794,726,684,561,544,493,547,666,773,702,767,838,776,751,661,671,696,608,652,680,623,616,665,639,602,715,618,602,680,557,607,634,618,684,738,731,698,741,607,550
49.0,25982,549,439,571,602,570,593,591,605,592,624,502,438,394,460,493,503,578,530,596,589,562,589,518,537,510,452,491,551,577,606,554,589,508,531,539,571,526,472,495,525,621,532,546,570,604,589,547,451
50.0,17540,312,307,374,313,373,376,386,417,414,469,359,300,286,290,374,372,379,392,410,412,433,374,338,402,326,385,371,394,383,371,349,384,385,409,363,350,373,301,341,365,393,370,353,334,374,389,304,311
52.0,40575,847,739,820,932,901,978,920,1003,976,1016,829,771,760,709,906,857,898,864,973,935,851,850,802,834,785,725,772,847,939,832,788,836,790,872,808,793,817,703,780,790,849,841,885,878,908,894,816,656
60.0,24235,454,407,444,487,563,647,667,612,515,602,447,442,436,367,432,491,628,580,775,738,528,521,483,436,452,434,507,472,465,541,604,602,476,465,425,427,444,385,418,487,474,535,618,518,499,498,388,399
61.0,22143,458,488,509,493,545,490,487,497,464,546,427,492,551,354,398,455,544,460,457,487,439,474,451,464,502,346,410,412,443,461,486,475,447,430,429,453,482,374,413,433,463,448,497,487,485,491,438,408
62.0,22540,465,363,523,483,532,472,517,526,494,567,502,504,457,391,476,487,535,480,534,538,494,489,486,506,434,396,438,464,489,507,439,478,454,525,486,385,409,380,406,424,407,463,481,448,492,488,392,434
63.0,19206,360,281,395,360,442,431,450,470,392,435,386,352,344,265,368,416,436,412,461,496,434,442,430,480,404,345,441,396,473,390,422,436,403,474,351,402,371,302,364,359,380,415,399,405,378,421,407,330
66.0,17506,375,334,363,365,397,354,397,423,362,403,332,364,353,249,365,386,407,386,418,414,416,414,373,413,328,340,376,398,361,342,364,392,382,398,386,353,384,305,353,351,385,318,356,325,340,321,331,254
67.0,39237,748,705,836,767,950,868,937,928,858,924,733,787,696,639,792,795,976,853,928,926,856,777,801,798,821,733,892,812,865,894,847,944,838,840,821,756,843,728,739,745,802,771,855,804,774,818,745,672
